Ticker,Date,Price
IQ,2023-03-21,19.661772087117487
RS,2023-03-21,8.55139001822643
MBR,2023-03-21,16.960711830411796
YBS,2023-03-21,18.552420321969628
UKD,2023-03-21,27.423288525300567
NFCO,2023-03-21,18.23768748274241
QPNL,2023-03-21,13.58364682100733
PIDJ,2023-03-21,28.193708786033515
GRF,2023-03-21,14.871372119698641
JPAV,2023-03-21,15.97551633533225
RSNM,2023-03-21,17.251872243345375
NR,2023-03-21,10.81918294419939
QWQN,2023-03-21,15.246750478738626
DIOP,2023-03-21,42.24347568113625
LDK,2023-03-21,25.321623402509193
LMA,2023-03-21,16.240967644374393
R,2023-03-21,18.905438892347824
XVA,2023-03-21,33.91986860931288
WCV,2023-03-21,22.66354998472868
AE,2023-03-21,10.234948363414263
SRD,2023-03-21,22.810667380232896
SB,2023-03-21,21.624243599667512
ZWV,2023-03-21,36.86445166562083
UJK,2023-03-21,27.43444126659371
PWZ,2023-03-21,28.120225115358135
PETT,2023-03-21,11.986005456466476
RRK,2023-03-21,11.33939407952622
RVT,2023-03-21,17.534959488238947
NCQ,2023-03-21,17.662997664622495
KYQT,2023-03-21,20.83790413070967
MRI,2023-03-21,37.75200412888504
NMD,2023-03-21,19.25867992456535
CED,2023-03-21,23.218505976708062
IO,2023-03-21,15.017864431019833
SVOI,2023-03-21,49.99739099000935
CJN,2023-03-21,11.150131723560634
KGQB,2023-03-21,15.213855529838336
OTN,2023-03-21,21.942369273366957
LBOR,2023-03-21,19.59261599627302
SJOH,2023-03-21,16.590783936816635
LW,2023-03-21,13.332841719709469
EDL,2023-03-21,21.483882616213155
DAMF,2023-03-21,18.44521529887728
CCSZ,2023-03-21,10.67467056407544
IUN,2023-03-21,19.66645576556744
YJEC,2023-03-21,21.02501925119572
JRJ,2023-03-21,16.04889195608454
AWZA,2023-03-21,37.44600889698216
JUXL,2023-03-21,26.943025293561295
DFCH,2023-03-21,21.411545651832014
IEBJ,2023-03-21,14.03725303054613
LMB,2023-03-21,18.183528735925798
YTX,2023-03-21,17.683378171632935
LUYA,2023-03-21,17.611758695337773
OTC,2023-03-21,16.738106215304402
FBCS,2023-03-21,13.616450201233679
KMTS,2023-03-21,20.16909118544985
XIOR,2023-03-21,18.85663307157436
LCN,2023-03-21,20.248184375436253
QMAI,2023-03-21,23.690606201414326
SFA,2023-03-21,14.916841715390147
YIGN,2023-03-21,20.47649682173719
PG,2023-03-21,47.572221919679166
GITR,2023-03-21,18.424871309830156
EJ,2023-03-21,17.198793259217837
HL,2023-03-21,15.725788053521153
ZOBM,2023-03-21,12.333302265413034
LEIV,2023-03-21,4.874350706093791
BQR,2023-03-21,23.376211382898784
DYB,2023-03-21,9.901920639898341
RXOM,2023-03-21,17.579707651106254
SOVP,2023-03-21,12.47904464855744
IYLW,2023-03-21,17.533931245936884
GNEI,2023-03-21,21.402154302587782
HXG,2023-03-21,17.829707264478845
FKD,2023-03-21,17.025427151668648
TFS,2023-03-21,11.621718925530162
DYAQ,2023-03-21,25.049084437470963
BJ,2023-03-21,12.783564623158918
RDI,2023-03-21,20.907709941812517
VQG,2023-03-21,23.769246252867216
